TransactionID,Date,CustomerID,Region,Category,Product,Quantity,UnitPrice,TotalPrice,PaymentMethod
TRX-10074,2023-12-04,CUST-293,South,Electronics,Smartphone,2,875.79,1751.58,Credit Card
TRX-10075,2024-11-11,CUST-260,West,Clothing,Sneakers,4,93.45,373.8,PayPal
TRX-10076,2023-10-04,CUST-403,West,Electronics,Laptop,2,1084.34,2168.68,PayPal
TRX-10077,2024-01-27,CUST-234,East,Electronics,Monitor,4,314.79,1259.16,Credit Card
TRX-10078,2023-02-02,CUST-275,North,Clothing,Sneakers,4,93.98,375.92,Debit Card
TRX-10079,2024-04-14,CUST-474,South,Electronics,Monitor,3,275.62,826.86,PayPal
TRX-10080,2023-02-07,CUST-329,West,Home,Chair,2,95.01,190.02,Credit Card
TRX-10081,2023-10-10,CUST-126,South,Clothing,Jeans,2,58.72,117.44,Debit Card
TRX-10082,2024-08-31,CUST-383,North,Home,Blender,2,47.65,95.3,PayPal
TRX-10083,2024-03-28,CUST-416,East,Clothing,T-Shirt,1,25.84,25.84,Debit Card
TRX-10084,2024-06-30,CUST-291,South,Clothing,Sneakers,4,89.99,359.96,PayPal
TRX-10085,2023-06-21,CUST-319,West,Home,Coffee Maker,1,82.33,82.33,Credit Card
TRX-10086,2024-01-08,CUST-105,North,Electronics,Laptop,2,1192.79,2385.58,Credit Card
TRX-10087,2023-02-06,CUST-379,South,Electronics,Monitor,1,292.21,292.21,Credit Card
TRX-10088,2023-06-30,CUST-194,North,Clothing,Jacket,2,115.94,231.88,Debit Card
TRX-10089,2023-04-26,CUST-290,South,Home,Chair,1,109.27,109.27,Debit Card
TRX-10090,2023-06-10,CUST-355,North,Home,Chair,4,96.11,384.44,PayPal
TRX-10091,2024-07-19,CUST-157,South,Clothing,T-Shirt,2,24.93,49.86,Credit Card
TRX-10092,2024-09-17,CUST-387,North,Clothing,T-Shirt,2,27.15,54.3,PayPal
TRX-10093,2024-09-30,CUST-254,South,Electronics,Laptop,3,1241.07,3723.21,Credit Card
TRX-10094,2023-04-14,CUST-492,North,Electronics,Headphones,2,143.86,287.72,Debit Card
TRX-10095,2023-02-08,CUST-269,West,Home,Coffee Maker,4,83.24,332.96,Credit Card
TRX-10096,2024-02-12,CUST-112,West,Electronics,Headphones,3,159.28,477.84,Debit Card
TRX-10097,2023-02-05,CUST-272,West,Home,Chair,3,91.63,274.89,Debit Card
TRX-10098,2024-05-26,CUST-499,North,Home,Blender,4,42.25,169.0,Debit Card
TRX-10099,2024-04-15,CUST-242,East,Clothing,Sneakers,3,81.91,245.73,PayPal
TRX-10100,2024-12-27,CUST-441,North,Electronics,Smartphone,2,780.09,1560.18,Debit Card
TRX-10101,2024-07-28,CUST-289,South,Home,Desk,2,144.84,289.68,PayPal
TRX-10102,2024-07-23,CUST-441,North,Clothing,Jeans,2,57.44,114.88,Debit Card
TRX-10103,2023-02-23,CUST-200,North,Clothing,Jacket,2,114.01,228.02,Credit Card
TRX-10104,2024-07-25,CUST-207,North,Clothing,T-Shirt,1,25.11,25.11,PayPal
TRX-10105,2023-12-16,CUST-146,West,Home,Blender,4,46.11,184.44,PayPal
TRX-10106,2024-10-17,CUST-368,West,Home,Blender,4,46.8,187.2,PayPal
TRX-10107,2024-10-31,CUST-246,North,Home,Coffee Maker,2,87.51,175.02,Debit Card
TRX-10108,2024-08-26,CUST-157,East,Electronics,Monitor,3,317.71,953.13,Credit Card
TRX-10109,2024-04-18,CUST-216,South,Electronics,Smartphone,1,732.55,732.55,Debit Card
TRX-10110,2024-01-28,CUST-495,South,Home,Desk,3,137.43,412.29,Credit Card
TRX-10111,2024-09-25,CUST-100,West,Home,Desk,2,147.27,294.54,Credit Card
TRX-10112,2024-09-29,CUST-217,West,Home,Blender,4,44.48,177.92,PayPal
TRX-10113,2023-08-25,CUST-472,North,Clothing,T-Shirt,4,26.07,104.28,Debit Card
TRX-10114,2024-12-04,CUST-168,North,Home,Blender,1,46.24,46.24,PayPal
TRX-10115,2023-03-17,CUST-253,South,Clothing,Jeans,3,61.34,184.02,PayPal
TRX-10116,2023-03-27,CUST-284,East,Clothing,Sneakers,1,87.41,87.41,Debit Card
TRX-10117,2023-03-10,CUST-146,North,Clothing,T-Shirt,4,24.21,96.84,Credit Card
TRX-10118,2024-03-28,CUST-303,South,Clothing,T-Shirt,2,22.7,45.4,PayPal
TRX-10119,2024-03-07,CUST-440,North,Home,Desk,2,135.51,271.02,Debit Card
TRX-10120,2023-09-11,CUST-321,West,Electronics,Smartphone,1,795.76,795.76,Debit Card
TRX-10121,2024-06-05,CUST-345,North,Electronics,Monitor,2,308.99,617.98,Credit Card
TRX-10122,2023-06-29,CUST-322,North,Home,Coffee Maker,2,82.16,164.32,Credit Card
TRX-10123,2024-03-17,CUST-195,South,Electronics,Headphones,3,135.46,406.38,Credit Card
TRX-10124,2024-05-30,CUST-115,East,Home,Blender,1,48.21,48.21,PayPal
TRX-10125,2023-09-15,CUST-483,South,Home,Chair,3,91.41,274.23,Debit Card
TRX-10126,2024-10-25,CUST-495,East,Clothing,Sneakers,4,92.46,369.84,Credit Card
TRX-10127,2024-06-28,CUST-278,West,Home,Chair,4,97.76,391.04,Debit Card
TRX-10128,2024-07-30,CUST-267,North,Clothing,Jeans,4,63.85,255.4,Debit Card
TRX-10129,2023-10-12,CUST-496,West,Home,Blender,4,48.65,194.6,PayPal
TRX-10130,2023-09-10,CUST-341,North,Home,Desk,2,141.44,282.88,Debit Card
TRX-10131,2023-03-31,CUST-363,West,Clothing,Sneakers,1,93.29,93.29,Debit Card
TRX-10132,2024-08-24,CUST-214,East,Home,Chair,2,97.71,195.42,Credit Card
TRX-10133,2024-05-15,CUST-213,South,Home,Chair,4,95.64,382.56,Debit Card
TRX-10134,2024-01-11,CUST-316,South,Electronics,Smartphone,1,820.63,820.63,Debit Card
TRX-10135,2024-11-06,CUST-493,North,Electronics,Monitor,1,318.21,318.21,PayPal
TRX-10136,2023-07-11,CUST-326,South,Home,Chair,4,98.47,393.88,Credit Card
TRX-10137,2024-07-01,CUST-195,South,Clothing,T-Shirt,4,27.45,109.8,Credit Card
TRX-10138,2023-02-06,CUST-367,South,Clothing,Jeans,2,58.09,116.18,PayPal
TRX-10139,2023-10-06,CUST-316,North,Electronics,Laptop,1,1182.96,1182.96,PayPal
TRX-10140,2023-09-30,CUST-468,West,Electronics,Smartphone,2,758.12,1516.24,Debit Card
TRX-10141,2024-12-29,CUST-441,East,Home,Blender,4,45.05,180.2,Credit Card
TRX-10142,2023-06-26,CUST-199,East,Electronics,Laptop,3,1151.43,3454.29,Debit Card
TRX-10143,2023-03-17,CUST-364,West,Home,Chair,1,90.22,90.22,Credit Card
TRX-10144,2024-01-19,CUST-151,East,Electronics,Smartphone,2,771.09,1542.18,PayPal
TRX-10145,2023-05-24,CUST-472,North,Electronics,Headphones,3,152.2,456.6,Credit Card
TRX-10146,2023-01-25,CUST-478,East,Home,Chair,4,91.83,367.32,PayPal
TRX-10147,2023-05-31,CUST-243,West,Electronics,Laptop,1,1131.05,1131.05,Debit Card
TRX-10148,2024-11-23,CUST-141,South,Electronics,Laptop,1,1269.51,1269.51,Debit Card
TRX-10149,2023-08-11,CUST-221,West,Electronics,Laptop,2,1313.82,2627.64,Debit Card
TRX-10150,2023-08-23,CUST-430,North,Home,Chair,3,98.83,296.49,Credit Card
TRX-10151,2023-01-09,CUST-173,South,Clothing,T-Shirt,4,23.09,92.36,Debit Card
TRX-10152,2023-09-10,CUST-329,South,Home,Coffee Maker,1,85.39,85.39,Credit Card
TRX-10153,2023-06-17,CUST-269,South,Home,Chair,1,91.68,91.68,Debit Card
TRX-10154,2024-09-25,CUST-293,West,Home,Blender,3,44.07,132.21,Debit Card
TRX-10155,2024-02-26,CUST-438,East,Home,Blender,1,41.23,41.23,Credit Card
TRX-10156,2023-12-08,CUST-244,South,Home,Chair,1,101.63,101.63,Credit Card
TRX-10157,2023-10-28,CUST-231,West,Home,Chair,1,108.94,108.94,PayPal
TRX-10158,2024-02-19,CUST-374,South,Clothing,Jeans,4,58.2,232.8,PayPal
TRX-10159,2023-06-16,CUST-190,East,Clothing,Sneakers,2,94.99,189.98,PayPal
TRX-10160,2023-02-08,CUST-225,North,Home,Blender,3,42.74,128.22,Debit Card
TRX-10161,2023-08-08,CUST-225,West,Electronics,Smartphone,1,798.82,798.82,Debit Card
TRX-10162,2024-03-31,CUST-416,West,Clothing,Sneakers,4,82.01,328.04,Credit Card
TRX-10163,2023-01-01,CUST-486,West,Electronics,Laptop,3,1277.47,3832.41,PayPal
TRX-10164,2024-05-19,CUST-290,East,Home,Chair,2,101.67,203.34,Debit Card
TRX-10165,2023-04-27,CUST-233,East,Home,Chair,1,99.55,99.55,Credit Card
TRX-10166,2024-11-02,CUST-272,South,Electronics,Monitor,1,318.13,318.13,Debit Card
TRX-10167,2023-03-21,CUST-473,West,Electronics,Headphones,1,136.29,136.29,Credit Card
TRX-10168,2023-08-17,CUST-263,East,Home,Desk,4,162.74,650.96,Credit Card
TRX-10169,2024-03-16,CUST-146,South,Clothing,Jeans,4,60.65,242.6,Credit Card
TRX-10170,2023-05-23,CUST-100,West,Electronics,Monitor,2,307.76,615.52,Debit Card
TRX-10171,2023-09-16,CUST-243,North,Electronics,Headphones,2,153.83,307.66,Debit Card
TRX-10172,2023-01-12,CUST-429,East,Home,Desk,3,157.11,471.33,Debit Card
TRX-10173,2023-12-24,CUST-255,North,Home,Chair,4,109.01,436.04,Debit Card
TRX-10174,2023-12-14,CUST-263,West,Electronics,Monitor,2,290.14,580.28,PayPal
TRX-10175,2023-11-12,CUST-277,West,Home,Chair,2,99.27,198.54,PayPal
TRX-10176,2023-02-10,CUST-327,West,Electronics,Headphones,1,142.98,142.98,PayPal
TRX-10177,2023-05-25,CUST-300,South,Clothing,Jeans,2,65.83,131.66,Credit Card
TRX-10178,2024-04-05,CUST-319,East,Electronics,Monitor,4,288.57,1154.28,Credit Card
TRX-10179,2024-07-11,CUST-134,South,Electronics,Laptop,1,1145.03,1145.03,Debit Card
TRX-10180,2023-09-13,CUST-296,South,Electronics,Laptop,2,1277.41,2554.82,Debit Card
TRX-10181,2023-01-10,CUST-411,North,Home,Blender,2,46.02,92.04,Credit Card
TRX-10182,2023-01-05,CUST-218,East,Electronics,Laptop,3,1290.4,3871.2,PayPal
TRX-10183,2023-03-06,CUST-245,South,Clothing,Jacket,2,117.87,235.74,Credit Card
TRX-10184,2023-10-09,CUST-162,East,Home,Chair,1,109.75,109.75,Debit Card
TRX-10185,2024-11-19,CUST-197,West,Electronics,Monitor,3,293.58,880.74,Credit Card
TRX-10186,2024-01-20,CUST-410,West,Clothing,T-Shirt,3,22.68,68.04,Debit Card
TRX-10187,2024-12-09,CUST-450,West,Clothing,T-Shirt,1,26.82,26.82,Debit Card
TRX-10188,2024-03-12,CUST-122,West,Home,Blender,3,47.25,141.75,PayPal
TRX-10189,2024-12-14,CUST-182,North,Clothing,Jacket,1,126.46,126.46,PayPal
TRX-10190,2024-04-01,CUST-465,East,Clothing,Jacket,2,113.94,227.88,Debit Card
TRX-10191,2024-12-17,CUST-359,West,Clothing,Jacket,1,114.03,114.03,Debit Card
TRX-10192,2024-05-02,CUST-387,West,Clothing,Jacket,1,113.49,113.49,PayPal
TRX-10193,2023-03-13,CUST-138,East,Electronics,Headphones,3,136.41,409.23,Debit Card
TRX-10194,2024-03-13,CUST-217,West,Home,Blender,2,46.54,93.08,Credit Card
TRX-10195,2023-09-25,CUST-153,West,Clothing,T-Shirt,2,26.66,53.32,Credit Card
TRX-10196,2024-02-05,CUST-211,South,Home,Coffee Maker,2,87.49,174.98,PayPal
TRX-10197,2023-07-26,CUST-328,North,Home,Chair,3,99.6,298.8,Credit Card
TRX-10198,2023-03-16,CUST-202,South,Electronics,Monitor,2,307.22,614.44,PayPal
TRX-10199,2023-11-02,CUST-197,East,Electronics,Monitor,4,278.18,1112.72,Credit Card
TRX-10200,2024-03-10,CUST-407,North,Clothing,Sneakers,3,92.46,277.38,Credit Card
TRX-10201,2023-12-01,CUST-129,East,Home,Chair,1,100.95,100.95,Debit Card
TRX-10202,2023-03-22,CUST-232,North,Electronics,Monitor,3,307.33,921.99,PayPal
TRX-10203,2023-07-03,CUST-429,South,Electronics,Headphones,2,158.89,317.78,Debit Card
TRX-10204,2023-03-10,CUST-133,North,Electronics,Laptop,4,1264.54,5058.16,Debit Card
TRX-10205,2023-07-24,CUST-225,South,Home,Chair,2,102.42,204.84,Credit Card
TRX-10206,2023-04-21,CUST-348,North,Clothing,Sneakers,4,92.4,369.6,Debit Card
TRX-10207,2023-04-05,CUST-473,East,Clothing,T-Shirt,4,24.8,99.2,PayPal
TRX-10208,2023-12-26,CUST-487,West,Electronics,Monitor,4,311.86,1247.44,Credit Card
TRX-10209,2023-07-14,CUST-254,South,Clothing,Jacket,3,116.3,348.9,Debit Card
TRX-10210,2023-03-02,CUST-221,West,Clothing,T-Shirt,2,25.84,51.68,Debit Card
TRX-10211,2023-01-05,CUST-191,South,Clothing,T-Shirt,1,23.62,23.62,Credit Card
TRX-10212,2024-02-09,CUST-425,West,Electronics,Laptop,2,1163.43,2326.86,PayPal
TRX-10213,2024-06-07,CUST-445,North,Clothing,T-Shirt,1,23.1,23.1,Debit Card
TRX-10214,2023-03-19,CUST-317,North,Electronics,Smartphone,1,863.07,863.07,Debit Card
TRX-10215,2023-09-06,CUST-146,West,Home,Desk,1,155.71,155.71,Credit Card
TRX-10216,2023-02-25,CUST-449,North,Electronics,Laptop,3,1230.7,3692.1,Credit Card
TRX-10217,2024-07-26,CUST-436,South,Electronics,Monitor,4,279.42,1117.68,Debit Card
TRX-10218,2023-01-08,CUST-212,East,Home,Blender,1,42.99,42.99,Credit Card
TRX-10219,2024-12-19,CUST-402,West,Home,Blender,4,45.88,183.52,Credit Card
TRX-10220,2024-06-09,CUST-127,East,Electronics,Laptop,2,1168.91,2337.82,Debit Card
TRX-10221,2024-01-21,CUST-464,East,Home,Coffee Maker,4,77.9,311.6,PayPal
TRX-10222,2023-11-08,CUST-470,North,Clothing,Jacket,3,109.5,328.5,PayPal
TRX-10223,2023-12-29,CUST-338,East,Electronics,Smartphone,3,834.14,2502.42,Credit Card
TRX-10224,2024-05-20,CUST-393,South,Clothing,Jacket,2,108.73,217.46,Credit Card
TRX-10225,2023-07-11,CUST-218,South,Home,Coffee Maker,3,80.52,241.56,Debit Card
TRX-10226,2023-02-08,CUST-372,North,Electronics,Smartphone,2,780.37,1560.74,Debit Card
TRX-10227,2023-05-06,CUST-399,West,Home,Desk,2,141.34,282.68,Debit Card
TRX-10228,2023-07-31,CUST-124,East,Home,Chair,1,94.66,94.66,Credit Card
TRX-10229,2023-08-21,CUST-208,South,Electronics,Smartphone,3,828.66,2485.98,Credit Card
TRX-10230,2023-04-21,CUST-133,North,Home,Coffee Maker,4,79.67,318.68,Credit Card
TRX-10231,2024-01-04,CUST-335,West,Electronics,Headphones,4,151.73,606.92,Debit Card
TRX-10232,2024-09-04,CUST-105,North,Home,Blender,1,41.65,41.65,PayPal
TRX-10233,2024-03-18,CUST-414,South,Electronics,Smartphone,4,863.94,3455.76,Debit Card
TRX-10234,2024-01-12,CUST-388,East,Clothing,Jacket,1,131.68,131.68,PayPal
TRX-10235,2024-12-10,CUST-169,East,Home,Blender,1,40.57,40.57,Debit Card
TRX-10236,2023-12-16,CUST-430,West,Home,Blender,4,42.71,170.84,Credit Card
TRX-10237,2024-08-29,CUST-251,North,Home,Desk,2,137.64,275.28,Debit Card
TRX-10238,2023-08-31,CUST-130,South,Home,Blender,3,48.57,145.71,Debit Card
TRX-10239,2023-08-11,CUST-105,West,Electronics,Monitor,4,294.62,1178.48,Debit Card
TRX-10240,2023-03-16,CUST-103,East,Home,Coffee Maker,4,78.37,313.48,PayPal
TRX-10241,2024-08-28,CUST-161,South,Home,Coffee Maker,2,72.08,144.16,PayPal
TRX-10242,2024-12-15,CUST-491,West,Clothing,Sneakers,3,97.73,293.19,PayPal
TRX-10243,2023-10-27,CUST-232,North,Clothing,T-Shirt,1,24.88,24.88,Debit Card
TRX-10244,2024-12-24,CUST-324,South,Electronics,Monitor,2,281.22,562.44,Credit Card
TRX-10245,2024-07-12,CUST-100,North,Clothing,Jeans,4,62.83,251.32,Credit Card
TRX-10246,2024-07-03,CUST-392,East,Electronics,Smartphone,4,817.7,3270.8,Debit Card
TRX-10247,2023-09-16,CUST-260,South,Home,Blender,3,45.05,135.15,Credit Card
TRX-10248,2023-01-10,CUST-360,East,Home,Desk,4,146.08,584.32,Debit Card
TRX-10249,2023-01-13,CUST-267,North,Home,Desk,4,136.9,547.6,Debit Card
TRX-10250,2023-11-15,CUST-200,West,Clothing,Jeans,1,63.72,63.72,Credit Card
TRX-10251,2024-07-03,CUST-193,North,Home,Coffee Maker,1,72.04,72.04,Credit Card
TRX-10252,2023-11-14,CUST-335,West,Electronics,Headphones,1,138.2,138.2,Credit Card
TRX-10253,2024-01-11,CUST-236,North,Electronics,Monitor,1,294.51,294.51,Debit Card
TRX-10254,2024-06-30,CUST-100,North,Clothing,T-Shirt,3,23.53,70.59,Credit Card
TRX-10255,2024-07-25,CUST-419,South,Electronics,Smartphone,2,838.58,1677.16,Debit Card
TRX-10256,2023-08-17,CUST-369,South,Electronics,Headphones,3,158.45,475.35,Credit Card
TRX-10257,2024-12-25,CUST-264,North,Home,Desk,3,158.99,476.97,Credit Card
TRX-10258,2023-03-19,CUST-161,East,Clothing,Jeans,3,63.77,191.31,Credit Card
TRX-10259,2023-02-11,CUST-188,South,Electronics,Monitor,1,291.53,291.53,Credit Card
TRX-10260,2023-10-22,CUST-203,North,Clothing,Sneakers,4,93.29,373.16,Credit Card
TRX-10261,2024-09-28,CUST-452,West,Electronics,Laptop,3,1170.47,3511.41,PayPal
TRX-10262,2024-10-26,CUST-244,West,Electronics,Smartphone,3,839.62,2518.86,Debit Card
TRX-10263,2024-09-07,CUST-203,North,Home,Blender,3,48.6,145.8,Debit Card
TRX-10264,2023-07-17,CUST-233,East,Clothing,Jeans,3,61.49,184.47,Credit Card
TRX-10265,2024-07-07,CUST-114,West,Home,Coffee Maker,3,77.33,231.99,Debit Card
TRX-10266,2024-04-22,CUST-330,North,Electronics,Smartphone,1,860.58,860.58,Debit Card
TRX-10267,2024-07-03,CUST-196,East,Home,Desk,1,152.19,152.19,Debit Card
TRX-10268,2023-10-16,CUST-353,North,Electronics,Smartphone,3,833.12,2499.36,Credit Card
TRX-10269,2024-06-05,CUST-104,South,Clothing,T-Shirt,2,23.52,47.04,Credit Card
TRX-10270,2023-04-28,CUST-393,East,Electronics,Headphones,1,161.3,161.3,Debit Card
TRX-10271,2023-08-16,CUST-464,West,Home,Coffee Maker,3,80.58,241.74,Debit Card
TRX-10272,2023-01-15,CUST-256,North,Clothing,Jacket,4,111.06,444.24,PayPal
TRX-10273,2023-02-16,CUST-423,East,Electronics,Smartphone,1,806.38,806.38,Debit Card
TRX-10274,2024-02-15,CUST-194,West,Electronics,Smartphone,2,835.56,1671.12,Credit Card
TRX-10275,2023-10-19,CUST-381,North,Electronics,Smartphone,4,815.75,3263.0,Credit Card
TRX-10276,2024-10-21,CUST-110,East,Electronics,Smartphone,1,760.29,760.29,Credit Card
TRX-10277,2024-07-03,CUST-233,South,Electronics,Smartphone,4,873.45,3493.8,PayPal
TRX-10278,2023-12-12,CUST-401,East,Home,Chair,3,98.02,294.06,PayPal
TRX-10279,2023-05-21,CUST-203,East,Electronics,Headphones,2,153.45,306.9,Credit Card
TRX-10280,2024-09-14,CUST-203,North,Electronics,Headphones,1,150.18,150.18,PayPal
TRX-10281,2023-12-22,CUST-423,North,Home,Desk,4,161.16,644.64,Credit Card
TRX-10282,2023-05-07,CUST-205,South,Electronics,Smartphone,1,846.41,846.41,Credit Card
TRX-10283,2024-01-13,CUST-492,West,Clothing,T-Shirt,3,26.36,79.08,PayPal
TRX-10284,2024-04-06,CUST-395,East,Clothing,Sneakers,1,88.63,88.63,Debit Card
TRX-10285,2024-02-11,CUST-356,North,Electronics,Headphones,3,160.21,480.63,PayPal
TRX-10286,2023-12-12,CUST-209,West,Clothing,Jeans,1,55.36,55.36,Debit Card
TRX-10287,2023-01-01,CUST-418,South,Clothing,T-Shirt,3,23.43,70.29,Credit Card
TRX-10288,2024-10-22,CUST-408,West,Clothing,Jacket,3,115.47,346.41,Debit Card
TRX-10289,2023-11-09,CUST-216,North,Home,Blender,4,43.52,174.08,Credit Card
TRX-10290,2024-07-28,CUST-343,North,Home,Coffee Maker,3,81.66,244.98,Debit Card
