SessionID,Date,Source,Device,IsBounce,ViewedProduct,AddToCart,Purchase,SessionDurationSec
SES-10193,2023-06-20,Direct,Desktop,Yes,No,No,No,8
SES-10194,2023-06-16,Referral,Tablet,No,Yes,No,No,557
SES-10195,2023-01-29,Paid Search,Tablet,Yes,No,No,No,4
SES-10196,2023-02-20,Direct,Tablet,No,Yes,Yes,No,142
SES-10197,2023-05-15,Organic Search,Desktop,No,Yes,No,No,337
SES-10198,2023-12-28,Organic Search,Tablet,Yes,No,No,No,4
SES-10199,2023-12-09,Direct,Mobile,No,Yes,No,No,528
SES-10200,2023-08-04,Referral,Desktop,Yes,No,No,No,1
SES-10201,2023-07-01,Referral,Desktop,No,Yes,No,No,210
SES-10202,2023-10-13,Direct,Mobile,Yes,No,No,No,2
SES-10203,2023-01-31,Social,Tablet,Yes,No,No,No,8
SES-10204,2023-07-15,Referral,Tablet,Yes,No,No,No,3
SES-10205,2023-06-19,Referral,Desktop,Yes,No,No,No,4
SES-10206,2023-11-19,Paid Search,Tablet,No,Yes,No,No,363
SES-10207,2023-10-02,Social,Desktop,No,Yes,No,No,69
SES-10208,2023-07-17,Organic Search,Desktop,Yes,No,No,No,4
SES-10209,2023-03-07,Paid Search,Mobile,No,Yes,No,No,86
SES-10210,2023-11-15,Referral,Desktop,No,Yes,No,No,331
SES-10211,2023-01-30,Direct,Desktop,Yes,No,No,No,4
SES-10212,2023-05-13,Organic Search,Mobile,Yes,No,No,No,4
SES-10213,2023-12-29,Direct,Tablet,Yes,No,No,No,8
SES-10214,2023-03-24,Organic Search,Tablet,No,Yes,Yes,No,574
SES-10215,2023-09-16,Direct,Desktop,No,Yes,No,No,275
SES-10216,2023-05-23,Direct,Tablet,No,Yes,No,No,539
SES-10217,2023-12-21,Referral,Desktop,No,Yes,No,No,101
SES-10218,2023-10-08,Paid Search,Tablet,Yes,No,No,No,7
SES-10219,2023-03-26,Paid Search,Mobile,No,Yes,No,No,492
SES-10220,2023-12-20,Referral,Mobile,Yes,No,No,No,8
SES-10221,2023-11-21,Referral,Tablet,Yes,No,No,No,9
SES-10222,2023-06-07,Organic Search,Mobile,No,Yes,No,No,22
SES-10223,2023-07-03,Direct,Tablet,Yes,No,No,No,0
SES-10224,2023-05-11,Direct,Tablet,Yes,No,No,No,4
SES-10225,2023-01-08,Direct,Tablet,No,Yes,No,No,140
SES-10226,2023-01-19,Referral,Desktop,No,Yes,No,No,15
SES-10227,2023-02-10,Referral,Desktop,Yes,No,No,No,3
SES-10228,2023-07-13,Organic Search,Desktop,No,Yes,Yes,Yes,516
SES-10229,2023-04-26,Referral,Tablet,Yes,No,No,No,5
SES-10230,2023-06-14,Social,Desktop,Yes,No,No,No,5
SES-10231,2023-06-30,Direct,Tablet,No,Yes,No,No,71
SES-10232,2023-01-13,Referral,Desktop,No,Yes,No,No,248
SES-10233,2023-12-07,Referral,Mobile,No,Yes,Yes,No,101
SES-10234,2023-11-27,Social,Desktop,Yes,No,No,No,1
SES-10235,2023-05-17,Direct,Mobile,Yes,No,No,No,4
SES-10236,2023-10-13,Organic Search,Mobile,Yes,No,No,No,4
SES-10237,2023-10-30,Organic Search,Tablet,No,Yes,Yes,Yes,503
SES-10238,2023-04-11,Referral,Tablet,No,Yes,No,No,583
SES-10239,2023-01-04,Paid Search,Desktop,No,Yes,No,No,579
SES-10240,2023-09-23,Referral,Mobile,No,Yes,No,No,514
SES-10241,2023-09-19,Social,Tablet,Yes,No,No,No,7
SES-10242,2023-08-01,Social,Mobile,No,Yes,No,No,365
SES-10243,2023-11-16,Paid Search,Desktop,No,Yes,Yes,No,587
SES-10244,2023-12-26,Referral,Tablet,No,Yes,No,No,468
SES-10245,2023-07-07,Direct,Desktop,No,Yes,No,No,480
SES-10246,2023-09-13,Social,Tablet,Yes,No,No,No,7
SES-10247,2023-11-15,Organic Search,Mobile,Yes,No,No,No,1
SES-10248,2023-10-01,Social,Desktop,Yes,No,No,No,6
SES-10249,2023-08-30,Organic Search,Tablet,No,Yes,No,No,228
SES-10250,2023-09-27,Organic Search,Tablet,Yes,No,No,No,5
SES-10251,2023-04-24,Direct,Mobile,No,Yes,No,No,236
SES-10252,2023-04-02,Referral,Tablet,No,Yes,No,No,472
SES-10253,2023-11-17,Organic Search,Desktop,Yes,No,No,No,7
SES-10254,2023-04-09,Referral,Desktop,Yes,No,No,No,8
SES-10255,2023-07-27,Referral,Mobile,Yes,No,No,No,0
SES-10256,2023-02-28,Social,Mobile,Yes,No,No,No,6
SES-10257,2023-07-17,Direct,Mobile,No,Yes,No,No,372
SES-10258,2023-08-20,Referral,Tablet,Yes,No,No,No,1
SES-10259,2023-09-25,Referral,Mobile,No,Yes,No,No,497
SES-10260,2023-05-20,Referral,Desktop,Yes,No,No,No,2
SES-10261,2023-03-01,Paid Search,Mobile,No,Yes,Yes,No,421
SES-10262,2023-07-09,Paid Search,Mobile,No,Yes,Yes,No,219
SES-10263,2023-12-10,Referral,Tablet,No,Yes,No,No,132
SES-10264,2023-09-26,Direct,Desktop,Yes,No,No,No,1
SES-10265,2023-04-17,Social,Tablet,Yes,No,No,No,0
SES-10266,2023-10-07,Paid Search,Mobile,Yes,No,No,No,1
SES-10267,2023-06-28,Paid Search,Mobile,No,Yes,No,No,204
SES-10268,2023-01-07,Social,Mobile,Yes,No,No,No,4
SES-10269,2023-09-29,Referral,Desktop,No,Yes,No,No,432
SES-10270,2023-10-23,Social,Tablet,No,Yes,Yes,Yes,323
SES-10271,2023-01-15,Referral,Desktop,No,Yes,No,No,325
SES-10272,2023-08-15,Social,Desktop,Yes,No,No,No,6
SES-10273,2023-08-22,Social,Desktop,No,Yes,Yes,No,87
SES-10274,2023-01-31,Referral,Mobile,Yes,No,No,No,9
SES-10275,2023-01-28,Organic Search,Tablet,Yes,No,No,No,0
SES-10276,2023-08-27,Social,Mobile,Yes,No,No,No,9
SES-10277,2023-06-24,Direct,Tablet,No,Yes,No,No,299
SES-10278,2023-08-03,Direct,Tablet,No,Yes,Yes,No,348
SES-10279,2023-07-21,Referral,Tablet,No,Yes,Yes,Yes,232
SES-10280,2023-06-28,Social,Tablet,Yes,No,No,No,6
SES-10281,2023-07-23,Paid Search,Tablet,No,Yes,Yes,Yes,193
SES-10282,2023-12-22,Organic Search,Mobile,Yes,No,No,No,1
SES-10283,2023-02-15,Paid Search,Desktop,No,Yes,No,No,78
SES-10284,2023-05-22,Direct,Mobile,Yes,No,No,No,4
SES-10285,2023-03-06,Referral,Tablet,No,Yes,No,No,245
SES-10286,2023-07-22,Organic Search,Desktop,Yes,No,No,No,2
SES-10287,2023-03-03,Direct,Tablet,No,Yes,No,No,460
SES-10288,2023-07-21,Paid Search,Mobile,Yes,No,No,No,0
SES-10289,2023-02-01,Paid Search,Tablet,No,Yes,No,No,195
SES-10290,2023-01-29,Direct,Desktop,Yes,No,No,No,9
SES-10291,2023-08-14,Paid Search,Desktop,Yes,No,No,No,4
SES-10292,2023-11-24,Direct,Desktop,No,Yes,No,No,27
SES-10293,2023-04-04,Organic Search,Tablet,No,Yes,Yes,No,525
SES-10294,2023-07-04,Paid Search,Desktop,No,Yes,Yes,Yes,123
SES-10295,2023-10-01,Referral,Desktop,Yes,No,No,No,1
SES-10296,2023-06-26,Organic Search,Tablet,Yes,No,No,No,4
SES-10297,2023-05-18,Organic Search,Tablet,No,Yes,Yes,No,377
SES-10298,2023-05-06,Direct,Desktop,No,Yes,Yes,No,55
SES-10299,2023-05-17,Paid Search,Desktop,Yes,No,No,No,0
SES-10300,2023-08-20,Social,Desktop,No,Yes,No,No,330
SES-10301,2023-05-08,Referral,Tablet,No,Yes,No,No,381
SES-10302,2023-12-23,Social,Mobile,Yes,No,No,No,0
SES-10303,2023-05-06,Referral,Desktop,Yes,No,No,No,3
SES-10304,2023-10-05,Direct,Desktop,No,Yes,No,No,145
SES-10305,2023-11-30,Referral,Desktop,No,Yes,Yes,Yes,323
SES-10306,2023-07-18,Organic Search,Desktop,No,Yes,No,No,509
SES-10307,2023-01-28,Organic Search,Mobile,No,Yes,No,No,440
SES-10308,2023-03-18,Paid Search,Tablet,No,Yes,No,No,28
SES-10309,2023-07-19,Paid Search,Tablet,No,Yes,No,No,465
SES-10310,2023-05-18,Direct,Desktop,No,Yes,No,No,575
SES-10311,2023-09-22,Social,Desktop,Yes,No,No,No,3
SES-10312,2023-10-06,Direct,Desktop,Yes,No,No,No,6
SES-10313,2023-01-21,Direct,Tablet,Yes,No,No,No,6
SES-10314,2023-09-29,Referral,Tablet,No,Yes,No,No,125
SES-10315,2023-03-10,Paid Search,Desktop,No,Yes,No,No,500
SES-10316,2023-05-26,Direct,Tablet,Yes,No,No,No,0
SES-10317,2023-09-20,Direct,Tablet,No,Yes,No,No,20
SES-10318,2023-08-04,Organic Search,Mobile,Yes,No,No,No,2
SES-10319,2023-12-09,Direct,Desktop,Yes,No,No,No,7
SES-10320,2023-05-21,Referral,Tablet,No,Yes,No,No,566
SES-10321,2023-06-05,Referral,Desktop,No,Yes,No,No,532
SES-10322,2023-11-05,Paid Search,Tablet,Yes,No,No,No,3
SES-10323,2023-03-03,Organic Search,Tablet,Yes,No,No,No,7
SES-10324,2023-12-12,Direct,Mobile,No,Yes,Yes,No,358
SES-10325,2023-01-02,Social,Mobile,No,Yes,Yes,No,482
SES-10326,2023-03-16,Social,Mobile,No,Yes,No,No,454
SES-10327,2023-01-03,Direct,Mobile,Yes,No,No,No,0
SES-10328,2023-02-21,Social,Tablet,Yes,No,No,No,4
SES-10329,2023-08-13,Paid Search,Desktop,No,Yes,No,No,199
SES-10330,2023-09-08,Referral,Desktop,No,Yes,Yes,No,566
SES-10331,2023-02-10,Referral,Desktop,No,Yes,No,No,521
SES-10332,2023-05-25,Referral,Tablet,Yes,No,No,No,6
SES-10333,2023-10-24,Direct,Mobile,No,Yes,Yes,Yes,57
SES-10334,2023-12-15,Referral,Mobile,Yes,No,No,No,2
SES-10335,2023-08-24,Referral,Tablet,No,Yes,No,No,162
SES-10336,2023-01-19,Referral,Tablet,No,Yes,Yes,No,286
SES-10337,2023-09-06,Organic Search,Desktop,Yes,No,No,No,6
SES-10338,2023-10-23,Direct,Tablet,No,Yes,Yes,No,400
SES-10339,2023-04-30,Paid Search,Desktop,No,Yes,No,No,249
SES-10340,2023-09-17,Referral,Mobile,Yes,No,No,No,7
SES-10341,2023-10-09,Direct,Desktop,No,Yes,No,No,164
SES-10342,2023-03-17,Referral,Tablet,No,Yes,No,No,338
SES-10343,2023-01-13,Social,Mobile,Yes,No,No,No,0
SES-10344,2023-12-18,Social,Desktop,Yes,No,No,No,9
SES-10345,2023-01-18,Referral,Desktop,No,Yes,No,No,400
SES-10346,2023-11-12,Social,Tablet,Yes,No,No,No,5
SES-10347,2023-04-10,Paid Search,Tablet,Yes,No,No,No,6
SES-10348,2023-06-17,Referral,Mobile,Yes,No,No,No,1
SES-10349,2023-06-25,Paid Search,Tablet,No,Yes,Yes,No,370
SES-10350,2023-12-06,Referral,Desktop,No,Yes,Yes,No,422
SES-10351,2023-05-23,Paid Search,Tablet,Yes,No,No,No,0
SES-10352,2023-11-16,Organic Search,Mobile,Yes,No,No,No,8
SES-10353,2023-07-24,Referral,Desktop,No,Yes,No,No,395
SES-10354,2023-01-08,Organic Search,Desktop,Yes,No,No,No,3
SES-10355,2023-10-04,Referral,Desktop,Yes,No,No,No,9
SES-10356,2023-08-02,Organic Search,Desktop,Yes,No,No,No,5
SES-10357,2023-06-06,Paid Search,Desktop,No,Yes,No,No,326
SES-10358,2023-07-01,Organic Search,Mobile,Yes,No,No,No,1
SES-10359,2023-02-23,Organic Search,Desktop,No,Yes,No,No,404
SES-10360,2023-06-05,Referral,Desktop,Yes,No,No,No,6
SES-10361,2023-09-28,Referral,Desktop,No,Yes,No,No,148
SES-10362,2023-01-20,Direct,Desktop,No,Yes,Yes,No,496
SES-10363,2023-06-13,Organic Search,Desktop,Yes,No,No,No,3
SES-10364,2023-12-09,Direct,Desktop,No,Yes,No,No,394
SES-10365,2023-01-24,Paid Search,Tablet,Yes,No,No,No,2
SES-10366,2023-12-24,Social,Desktop,No,Yes,No,No,384
SES-10367,2023-05-20,Direct,Tablet,No,Yes,No,No,428
SES-10368,2023-06-18,Paid Search,Mobile,Yes,No,No,No,5
SES-10369,2023-08-03,Social,Mobile,No,Yes,No,No,126
SES-10370,2023-05-29,Direct,Tablet,Yes,No,No,No,6
SES-10371,2023-04-21,Paid Search,Mobile,No,Yes,No,No,358
SES-10372,2023-08-24,Social,Desktop,Yes,No,No,No,5
SES-10373,2023-06-02,Organic Search,Tablet,No,Yes,Yes,Yes,323
SES-10374,2023-06-07,Referral,Desktop,Yes,No,No,No,0
SES-10375,2023-03-17,Social,Desktop,Yes,No,No,No,4
SES-10376,2023-06-01,Paid Search,Desktop,No,Yes,No,No,364
SES-10377,2023-01-28,Referral,Desktop,Yes,No,No,No,0
SES-10378,2023-06-15,Paid Search,Desktop,No,Yes,No,No,462
SES-10379,2023-07-23,Referral,Tablet,No,Yes,No,No,515
SES-10380,2023-10-05,Organic Search,Desktop,No,Yes,No,No,360
SES-10381,2023-11-14,Organic Search,Tablet,Yes,No,No,No,2
SES-10382,2023-12-13,Organic Search,Desktop,No,Yes,No,No,437
SES-10383,2023-02-02,Social,Desktop,No,Yes,No,No,384
SES-10384,2023-05-23,Social,Tablet,No,Yes,No,No,543
SES-10385,2023-03-16,Social,Tablet,No,Yes,No,No,572
SES-10386,2023-04-08,Paid Search,Tablet,No,Yes,Yes,No,243
SES-10387,2023-02-11,Referral,Tablet,No,Yes,No,No,269
SES-10388,2023-03-10,Social,Tablet,No,Yes,Yes,No,229
SES-10389,2023-05-03,Direct,Desktop,Yes,No,No,No,0
SES-10390,2023-06-10,Referral,Mobile,No,Yes,No,No,315
SES-10391,2023-05-19,Social,Tablet,No,Yes,Yes,Yes,295
SES-10392,2023-08-05,Direct,Mobile,Yes,No,No,No,0
SES-10393,2023-05-15,Direct,Mobile,Yes,No,No,No,6
SES-10394,2023-02-24,Social,Mobile,Yes,No,No,No,4
SES-10395,2023-11-03,Direct,Desktop,No,Yes,No,No,72
